               ISIN POSITION      VALUE      TOTAL
                ING    -4754      10.47  -49750.61
 ING20170915CALL800        0       2.46       0.00
  ING20170915PUT800        0      -2.46      -0.00
 ING20170915CALL900    -4000       1.46   -5860.00
  ING20170915PUT900    -1000      -1.46    1465.00
 ING20170915CALL950    -5000       0.96   -4825.00
  ING20170915PUT950        0      -0.96      -0.00
 ING20170915CALL975    -2000       0.71   -1430.00
  ING20170915PUT975     -293      -0.71     209.49
ING20170915CALL1000        0       0.46       0.00
 ING20170915PUT1000        0      -0.46      -0.00
ING20170915CALL1025     1000       0.21     215.00
 ING20170915PUT1025    -1000      -0.21     215.00
ING20170915CALL1050     2000      -0.04     -70.00
 ING20170915PUT1050    -1000       0.04     -35.00
ING20170915CALL1100     2000      -0.54   -1070.00
 ING20170915PUT1100    -1000       0.54    -535.00
ING20170915CALL1200        0      -1.54      -0.00
 ING20170915PUT1200        0       1.54       0.00
ING20170915CALL1400        0      -3.54      -0.00
 ING20170915PUT1400        0       3.54       0.00
           Payments    12709      Value  -51545.66
              Delta    DELTA      Gamma      GAMMA
